index,Location,FIPS,Category,Mortality Rate,Year,,,,,,,,,,,,,
19165,Alabama,1,Neurological disorders,74.97,1980,,,,,,,,,,,,,
19233,Alaska,2,Neurological disorders,112.5,1980,,,,,,,,,,,,,
19263,Arizona,4,Neurological disorders,92.92,1980,,,,,,,,,,,,,
19279,Arkansas,5,Neurological disorders,54.96,1980,,,,,,,,,,,,,
19355,California,6,Neurological disorders,84.94,1980,,,,,,,,,,,,,
19414,Colorado,8,Neurological disorders,114.11,1980,,,,,,,,,,,,,
19479,Connecticut,9,Neurological disorders,79.75,1980,,,,,,,,,,,,,
19488,Delaware,10,Neurological disorders,75.16,1980,,,,,,,,,,,,,
19492,District of Columbia,11,Neurological disorders,78.3,1980,,,,,,,,,,,,,
19494,Florida,12,Neurological disorders,73.18,1980,,,,,,,,,,,,,
19562,Georgia,13,Neurological disorders,87.39,1980,,,,,,,,,,,,,
19722,Hawaii,15,Neurological disorders,79.71,1980,,,,,,,,,,,,,
19728,Idaho,16,Neurological disorders,106.34,1980,,,,,,,,,,,,,
19773,Illinois,17,Neurological disorders,76.97,1980,,,,,,,,,,,,,
19876,Indiana,18,Neurological disorders,79.91,1980,,,,,,,,,,,,,
19969,Iowa,19,Neurological disorders,88.76,1980,,,,,,,,,,,,,
20069,Kansas,20,Neurological disorders,87.08,1980,,,,,,,,,,,,,
20175,Kentucky,21,Neurological disorders,78.04,1980,,,,,,,,,,,,,
20296,Louisiana,22,Neurological disorders,65.85,1980,,,,,,,,,,,,,
20361,Maine,23,Neurological disorders,121.6,1980,,,,,,,,,,,,,
20378,Maryland,24,Neurological disorders,90.96,1980,,,,,,,,,,,,,
20403,Massachusetts,25,Neurological disorders,102.71,1980,,,,,,,,,,,,,
20418,Michigan,26,Neurological disorders,66.72,1980,,,,,,,,,,,,,
20502,Minnesota,27,Neurological disorders,112.14,1980,,,,,,,,,,,,,
20590,Mississippi,28,Neurological disorders,50.85,1980,,,,,,,,,,,,,
20673,Missouri,29,Neurological disorders,74.59,1980,,,,,,,,,,,,,
20789,Montana,30,Neurological disorders,122.04,1980,,,,,,,,,,,,,
20846,Nebraska,31,Neurological disorders,84.08,1980,,,,,,,,,,,,,
20940,Nevada,32,Neurological disorders,85.73,1980,,,,,,,,,,,,,
20958,New Hampshire,33,Neurological disorders,114.16,1980,,,,,,,,,,,,,
20969,New Jersey,34,Neurological disorders,66.16,1980,,,,,,,,,,,,,
20991,New Mexico,35,Neurological disorders,104.54,1980,,,,,,,,,,,,,
21025,New York,36,Neurological disorders,49.97,1980,,,,,,,,,,,,,
21088,North Carolina,37,Neurological disorders,87.43,1980,,,,,,,,,,,,,
21189,North Dakota,38,Neurological disorders,85.18,1980,,,,,,,,,,,,,
21243,Ohio,39,Neurological disorders,88.56,1980,,,,,,,,,,,,,
21332,Oklahoma,40,Neurological disorders,65.5,1980,,,,,,,,,,,,,
21410,Oregon,41,Neurological disorders,124.86,1980,,,,,,,,,,,,,
